lineage,old_label,new_label,N
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd4-IL7R,87
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd4-Treg,84
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tcd8-gdlike,2
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tcd8-gdlike,14
TNKILC,cTNI11 (CD8+GZMK+),Tcd4-Treg-prolif,6
TNKILC,cTNI22 (cTNI22),Tcd8-HOBIT,88
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tplzf-gdlike-prolif,6
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd4-Treg-prolif,44
TNKILC,cTNI23 (NK CD16A+),Tcd8-gdlike,2
TNKILC,cTNI11 (CD8+GZMK+),Tplzf-gdlike,14
TNKILC,cTNI11 (CD8+GZMK+),Tcd8-gdlike,11
TNKILC,cTNI03 (CD4+ IL7R+HSP+),NK-XCL1,3
TNKILC,cTNI20 (PLZF+ T),Tcd8-HOBIT,19
TNKILC,cTNI19 (gd-like T prolif),Tcd8-gdlike,21
TNKILC,cTNI20 (PLZF+ T),Tcd4-IL7R,13
TNKILC,cTNI09 (CD4+ Treg prolif),Tcd8-CXCL13,8
TNKILC,cTNI02 (CD4+ IL7R+SELL+),Tcd4-Treg-prolif,9
TNKILC,cTNI02 (CD4+ IL7R+SELL+),Tplzf-gdlike-prolif,1
TNKILC,cTNI02 (CD4+ IL7R+SELL+),Tcd8-CXCL13,2
TNKILC,cTNI04 (CD4+ IL7R+CCL5+),Tcd8-CXCL13-LAG3,3
TNKILC,cTNI06 (CD4+ TFH),Tcd8-CXCL13-prolif,2
TNKILC,cTNI26 (ILC3),Tcd4-IL7R,48
TNKILC,cTNI24 (NK GZMK+),Tcd8-gdlike,45
TNKILC,cTNI26 (ILC3),Tcd8-GZMK,1
TNKILC,cTNI01 (CD4+ IL7R+),Tcd8-HOBIT,38
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd8-GZMK,34
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd8-GZMK,147
TNKILC,cTNI22 (cTNI22),Tplzf-gdlike,4
TNKILC,cTNI14 (CD8+ CXCL13+),ILC3,24
TNKILC,cTNI18 (gd-like T PDCD1+),NK-XCL1,4
TNKILC,cTNI14 (CD8+ CXCL13+),NK-XCL1,7
TNKILC,cTNI18 (gd-like T PDCD1+),Tplzf-gdlike,146
TNKILC,cTNI11 (CD8+GZMK+),NK-XCL1,8
TNKILC,cTNI21 (PLZF+ T prolif),Tplzf-gdlike,9
TNKILC,cTNI09 (CD4+ Treg prolif),Tcd8-HOBIT,3
