MMRstatus,population,xbin,ybin,x_mid,y_mid,n_pat,val,lo,hi,n_pat_arm
MMRd,Myeloid-noDC-noGran,"(-15,-10]","[0,0.729]",-12.5,0.364704876434944,8,19.3357271095153,13.6362989146492,22.9076002058629,8
MMRd,Tcd4-Treg-comb,"(-15,-10]","[0,0.729]",-12.5,0.364704876434944,8,1.04600655970215,0.551897006911691,1.31325683775594,8
MMRd,Tplzf-gdlike-comb,"(-15,-10]","[0,0.729]",-12.5,0.364704876434944,7,0.49771878888428,0.147628483619554,0.579469272179879,8
MMRd,Myeloid-ISG,"(-20,-15]","(1.46,2.19]",-17.5,1.82352438217472,8,2.78594609067366,2.1863266583229,3.71121933621934,8
MMRd,Myeloid-noDC-noGran,"(-20,-15]","(1.46,2.19]",-17.5,1.82352438217472,8,14.6050938275071,11.4948830409357,17.5419660127107,8
MMRd,Tplzf-gdlike-comb,"(-20,-15]","(1.46,2.19]",-17.5,1.82352438217472,5,0.773694390715667,0.324675324675325,0.851063829787234,8
MMRd,Myeloid-ISG,"(-20,-15]","(2.19,2.92]",-17.5,2.55293413504461,8,3.29544136141934,2.81702977950259,3.99459951278213,8
MMRd,Myeloid-noDC-noGran,"(-20,-15]","(2.19,2.92]",-17.5,2.55293413504461,8,18.1760392055955,13.5259977738909,21.1335853419402,8
MMRd,Tcd4-Treg-comb,"(-20,-15]","(2.19,2.92]",-17.5,2.55293413504461,8,1.68858416694766,1.27939233124974,2.0227915677925,8
MMRd,Tcd8-CXCL13-comb,"(-20,-15]","(2.19,2.92]",-17.5,2.55293413504461,8,0.534803448793436,0.377698893541369,0.872913992297818,8
MMRd,CD8-all,"(-20,-15]","(2.19,2.92]",-17.5,2.55293413504461,8,1.27941695393719,0.842906177400312,1.7297162767546,8
MMRd,Tcd8-HOBIT,"(-20,-15]","(2.19,2.92]",-17.5,2.55293413504461,7,0.309917355371901,0.21817070393185,0.534629375803308,8
MMRd,Tplzf-gdlike-comb,"(-20,-15]","(2.19,2.92]",-17.5,2.55293413504461,7,0.470957613814757,0.318752001336545,0.742247866693543,8
MMRd,Myeloid-ISG,"(-20,-15]","(2.92,3.65]",-17.5,3.2823438879145,8,4.38178846037416,3.47900378880446,5.2556792053711,8
MMRd,Myeloid-noDC-noGran,"(-20,-15]","(2.92,3.65]",-17.5,3.2823438879145,8,20.2420443713835,16.6304471323408,23.1102654894387,8
MMRd,Tcd4-CXCL13,"(-20,-15]","(2.92,3.65]",-17.5,3.2823438879145,8,0.648144686768697,0.466490156877578,0.885542168674699,8
MMRd,Tcd4-Treg-comb,"(-20,-15]","(2.92,3.65]",-17.5,3.2823438879145,8,1.66140813900457,1.25262956588258,2.44039474480838,8
MMRd,Tcd8-HOBIT,"(-20,-15]","(2.92,3.65]",-17.5,3.2823438879145,8,0.386726080552669,0.331631274652834,0.418703417843889,8
MMRd,CD8-all,"(-20,-15]","(2.92,3.65]",-17.5,3.2823438879145,8,1.41514450559677,0.984280633986327,1.93827462193735,8
MMRd,Myeloid-mregDC,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,8,0.95949847966116,0.86951878633786,1.07120732485457,8
MMRd,Myeloid-ISG,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,8,6.77354993374846,5.83418103389244,8.64538094208737,8
MMRd,Myeloid-noDC-noGran,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,8,21.1544712143989,19.4580395307092,24.7072001985649,8
MMRd,Tcd4-CXCL13,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,8,0.759375432446146,0.551672100896844,1.2213335429481,8
MMRd,Tcd4-Treg-comb,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,8,1.83829930687531,1.36757167797713,2.96992425792535,8
MMRd,Tcd8-CXCL13-comb,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,8,1.064666905204,0.692079195653655,1.4738725648477,8
MMRd,CD8-all,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,8,1.96132420673208,1.28298655907673,3.91583262792743,8
MMRd,Tcd8-HOBIT,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,7,0.593471810089021,0.417952790194295,1.07996259965587,8
MMRd,Tplzf-gdlike-comb,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,7,0.584795321637427,0.375926161912217,0.779517578901777,8
MMRd,Myeloid-mregDC,"(-20,-15]","(4.38,5.11]",-17.5,4.74116339365427,8,1.17115059133812,0.736672325976231,1.82089301465955,8
MMRd,Myeloid-ISG,"(-20,-15]","(4.38,5.11]",-17.5,4.74116339365427,8,10.076417633948,5.80005262576736,15.2538200339559,8
