MMRstatus,population,xbin,ybin,x_mid,y_mid,n_pat,n_pat_arm,passes
MMRd,Tcd4-Treg-comb,"(-20,-15]","(5.11,5.84]",-17.5,5.47057314652416,5,8,TRUE
MMRd,Tcd8-CXCL13-comb,"(-20,-15]","(5.11,5.84]",-17.5,5.47057314652416,5,8,TRUE
MMRd,CD8-all,"(-20,-15]","(5.11,5.84]",-17.5,5.47057314652416,6,8,TRUE
MMRd,Tcd8-CXCL13-LAG3,"(-20,-15]","(5.11,5.84]",-17.5,5.47057314652416,4,8,TRUE
MMRd,Tcd8-HOBIT,"(-20,-15]","(5.11,5.84]",-17.5,5.47057314652416,3,8,FALSE
MMRd,Myeloid-mregDC,"(-20,-15]","[0,0.729]",-17.5,0.364704876434944,7,8,TRUE
MMRd,Myeloid-ISG,"(-20,-15]","[0,0.729]",-17.5,0.364704876434944,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-20,-15]","[0,0.729]",-17.5,0.364704876434944,8,8,TRUE
MMRd,Tcd4-Treg-comb,"(-20,-15]","[0,0.729]",-17.5,0.364704876434944,8,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-20,-15]","[0,0.729]",-17.5,0.364704876434944,6,8,TRUE
MMRd,Myeloid-mregDC,"(-25,-20]","(2.19,2.92]",-22.5,2.55293413504461,8,8,TRUE
MMRd,Myeloid-ISG,"(-25,-20]","(2.19,2.92]",-22.5,2.55293413504461,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-25,-20]","(2.19,2.92]",-22.5,2.55293413504461,8,8,TRUE
MMRd,Tcd4-Treg-comb,"(-25,-20]","(2.19,2.92]",-22.5,2.55293413504461,8,8,TRUE
MMRd,Myeloid-mregDC,"(-25,-20]","(2.92,3.65]",-22.5,3.2823438879145,7,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-25,-20]","(2.92,3.65]",-22.5,3.2823438879145,8,8,TRUE
MMRd,Tcd4-Treg-comb,"(-25,-20]","(2.92,3.65]",-22.5,3.2823438879145,8,8,TRUE
MMRd,Tcd8-CXCL13-comb,"(-25,-20]","(2.92,3.65]",-22.5,3.2823438879145,8,8,TRUE
MMRd,CD8-all,"(-25,-20]","(2.92,3.65]",-22.5,3.2823438879145,8,8,TRUE
MMRd,Tcd8-CXCL13-LAG3,"(-25,-20]","(2.92,3.65]",-22.5,3.2823438879145,6,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-25,-20]","(2.92,3.65]",-22.5,3.2823438879145,7,8,TRUE
MMRd,Myeloid-mregDC,"(-25,-20]","(3.65,4.38]",-22.5,4.01175364078438,8,8,TRUE
MMRd,Myeloid-ISG,"(-25,-20]","(3.65,4.38]",-22.5,4.01175364078438,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-25,-20]","(3.65,4.38]",-22.5,4.01175364078438,8,8,TRUE
MMRd,Tcd4-CXCL13,"(-25,-20]","(3.65,4.38]",-22.5,4.01175364078438,7,8,TRUE
MMRd,Tcd4-Treg-comb,"(-25,-20]","(3.65,4.38]",-22.5,4.01175364078438,8,8,TRUE
MMRd,Tcd8-CXCL13-comb,"(-25,-20]","(3.65,4.38]",-22.5,4.01175364078438,7,8,TRUE
MMRd,CD8-all,"(-25,-20]","(3.65,4.38]",-22.5,4.01175364078438,8,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-25,-20]","(3.65,4.38]",-22.5,4.01175364078438,7,8,TRUE
MMRd,Myeloid-mregDC,"(-25,-20]","(4.38,5.11]",-22.5,4.74116339365427,6,8,TRUE
MMRd,Myeloid-ISG,"(-25,-20]","(4.38,5.11]",-22.5,4.74116339365427,7,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-25,-20]","(4.38,5.11]",-22.5,4.74116339365427,7,8,TRUE
MMRd,Tcd4-Treg-comb,"(-25,-20]","(4.38,5.11]",-22.5,4.74116339365427,8,8,TRUE
MMRd,Tcd8-CXCL13-comb,"(-25,-20]","(4.38,5.11]",-22.5,4.74116339365427,7,8,TRUE
MMRd,CD8-all,"(-25,-20]","(4.38,5.11]",-22.5,4.74116339365427,7,8,TRUE
MMRd,Tcd8-HOBIT,"(-25,-20]","(4.38,5.11]",-22.5,4.74116339365427,4,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-25,-20]","(4.38,5.11]",-22.5,4.74116339365427,4,8,TRUE
